CABANG;PROPINSI;NO ORDER;TANGGAL;SUMBER;SERIES;HARGA JUAL;DISKON;JENIS BAYAR
FKH MAMUJU;SULAWESIBARAT;BTDMMJ220400053;4-May-22;ONLINE;SCOOPY;23.120.000;20.000;TUNAI
FKH SAMARINDA;KALIMANTANTIMUR;BTDSRI220400078;4-May-22;OFFLINE;VARIO 160;30.820.000;0;TUNAI
FKH SUKABUMI;JAWABARAT;BTDSKB220400168;4-May-22;OFFLINE;REVO;15.300.000;200.000;TUNAI
FKH KLUNGKUNG;BALI;BTDKLG220500001;6-May-22;OFFLINE;BEAT;17.910.000;0;TUNAI
FKH KLUNGKUNG;BALI;BTDKLG220500002;4-May-22;OFFLINE;BEAT;17.910.000;0;TUNAI
FKH BANGLI;BALI;BTDBGL220400071;4-May-22;OFFLINE;SCOOPY;22.740.000;0;TUNAI
FKH BANGLI;BALI;BTDBGL220400085;4-May-22;OFFLINE;SCOOPY;22.740.000;0;TUNAI
FKH NEGARA;BALI;BTDNGR220500002;4-May-22;OFFLINE;SCOOPY;22.740.000;0;TUNAI
FKH KLUNGKUNG;BALI;BTDKLG220400053;4-May-22;ONLINE;SCOOPY;22.740.000;0;TUNAI
FKH KLUNGKUNG;BALI;BTDKLG220500003;5-May-22;OFFLINE;SCOOPY;22.740.000;0;TUNAI
FKH KLUNGKUNG;BALI;BTDKLG220500004;5-May-22;OFFLINE;SCOOPY;21.940.000;0;TUNAI
FKH KLUNGKUNG;BALI;BTDKLG220500005;4-May-22;OFFLINE;SCOOPY;22.740.000;0;TUNAI
FKH BANGLI;BALI;BTDBGL220400079;4-May-22;OFFLINE;SCOOPY;22.740.000;0;TUNAI
FKH PAGAR ALAM;SUMATERASELATAN;BTDPGA220500002;4-May-22;OFFLINE;GENIO;20.500.000;500.000;TUNAI
FKH BANGLI;BALI;BTDBGL220400060;5-May-22;OFFLINE;VARIO 125;23.130.000;0;TUNAI
FKH DENPASAR;BALI;BTDDPR220500008;4-May-22;OFFLINE;SCOOPY;22.740.000;0;TUNAI
FKH PANGKAL PINANG;KEPULAUANBANGKABELIT;BTDPGK220500001;5-May-22;OFFLINE;VARIO 160;28.174.749;0;TUNAI
FKH PUTUSSIBAU;KALIMANTANBARAT;BTDPSU220500003;5-May-22;OFFLINE;REVO;17.180.000;200.000;TUNAI
FKH MALANG KOTA;JAWATIMUR;BTDMLG220500002;5-May-22;OFFLINE;VARIO 160;30.675.000;600.000;TUNAI
